Trial,Parameter,Value,Average Train Loss,Average Validation Loss
0,learning_rate,0.01,5.930635311603546,5.612647643089295
0,momentum,0.7,5.930635311603546,5.612647643089295
0,weight_decay,0.0005,5.930635311603546,5.612647643089295
0,number epochs,200,5.930635311603546,5.612647643089295
1,learning_rate,0.01,5.412703886032104,5.102748680114746
1,momentum,0.3,5.412703886032104,5.102748680114746
1,weight_decay,0.005,5.412703886032104,5.102748680114746
1,number epochs,50,5.412703886032104,5.102748680114746
2,learning_rate,1e-05,5.546305370330811,5.222946939468383
2,momentum,0.5,5.546305370330811,5.222946939468383
2,weight_decay,0.0005,5.546305370330811,5.222946939468383
2,number epochs,100,5.546305370330811,5.222946939468383
3,learning_rate,1e-05,5.847852602005005,5.489526815414429
3,momentum,0.05,5.847852602005005,5.489526815414429
3,weight_decay,0.1,5.847852602005005,5.489526815414429
3,number epochs,150,5.847852602005005,5.489526815414429
4,learning_rate,0.0001,5.897513506412506,5.536385631561279
4,momentum,0.05,5.897513506412506,5.536385631561279
4,weight_decay,0.005,5.897513506412506,5.536385631561279
4,number epochs,200,5.897513506412506,5.536385631561279
5,learning_rate,0.1,6.2963699531555175,5.997269287109375
5,momentum,0.95,6.2963699531555175,5.997269287109375
5,weight_decay,0.0005,6.2963699531555175,5.997269287109375
5,number epochs,50,6.2963699531555175,5.997269287109375
6,learning_rate,0.001,6.3419607472419735,6.040020549297333
6,momentum,0.3,6.3419607472419735,6.040020549297333
6,weight_decay,0.1,6.3419607472419735,6.040020549297333
6,number epochs,200,6.3419607472419735,6.040020549297333
7,learning_rate,1e-05,5.32142017364502,5.083139457702637
7,momentum,1,5.32142017364502,5.083139457702637
7,weight_decay,0.0005,5.32142017364502,5.083139457702637
7,number epochs,50,5.32142017364502,5.083139457702637
8,learning_rate,0.01,5.771377494335175,5.485901336669922
8,momentum,0.3,5.771377494335175,5.485901336669922
8,weight_decay,0.1,5.771377494335175,5.485901336669922
8,number epochs,200,5.771377494335175,5.485901336669922
9,learning_rate,0.1,5.124158029556274,4.86742522239685
9,momentum,0.05,5.124158029556274,4.86742522239685
9,weight_decay,0.1,5.124158029556274,4.86742522239685
9,number epochs,100,5.124158029556274,4.86742522239685
10,learning_rate,0.0001,5.4116978216171265,5.14228663444519
10,momentum,0.7,5.4116978216171265,5.14228663444519
10,weight_decay,0.005,5.4116978216171265,5.14228663444519
10,number epochs,100,5.4116978216171265,5.14228663444519
11,learning_rate,0.01,5.556414407730102,5.273654188156128
11,momentum,1,5.556414407730102,5.273654188156128
11,weight_decay,0.1,5.556414407730102,5.273654188156128
11,number epochs,250,5.556414407730102,5.273654188156128
12,learning_rate,0.01,5.992376024723053,5.640148906707764
12,momentum,0.95,5.992376024723053,5.640148906707764
12,weight_decay,0.0005,5.992376024723053,5.640148906707764
12,number epochs,200,5.992376024723053,5.640148906707764
13,learning_rate,0.0001,5.675223274230957,5.3045874691009525
13,momentum,0.95,5.675223274230957,5.3045874691009525
13,weight_decay,0.01,5.675223274230957,5.3045874691009525
13,number epochs,50,5.675223274230957,5.3045874691009525
14,learning_rate,0.1,5.66388503074646,5.327821612358093
14,momentum,1,5.66388503074646,5.327821612358093
14,weight_decay,0.0005,5.66388503074646,5.327821612358093
14,number epochs,100,5.66388503074646,5.327821612358093
15,learning_rate,1e-05,5.545496096611023,5.152901344299316
15,momentum,1,5.545496096611023,5.152901344299316
15,weight_decay,0.0005,5.545496096611023,5.152901344299316
